Model,Accuracy_Baseline,Precision_Baseline,Recall_Baseline,F1_Baseline,ROC_Baseline,Accuracy_RFE,Precision_RFE,Recall_RFE,F1_RFE,ROC_RFE,Accuracy_Improvement (%),Precision_Improvement (%),Recall_Improvement (%),F1_Improvement (%),ROC_Improvement (%)
Decision Tree,0.879,0.2069,0.2857,0.24,0.6036,0.8694,0.1154,0.1429,0.1277,0.5322,-1.0921501706484702,-44.224262928951184,-49.98249912495625,-46.79166666666666,-11.82902584493042
Logistic Regression,0.8854,0.1739,0.1905,0.1818,0.6363,0.9108,0.2308,0.1429,0.1765,0.5878,2.8687598825389755,32.71995399654975,-24.98687664041995,-2.915291529152915,-7.62219079050762
SVM,0.9331,0.0,0.0,0.0,0.6296,0.9331,0.0,0.0,0.0,0.5965,0.0,,,,-5.257306226175352
Random Forest,0.9331,0.0,0.0,0.0,0.7247,0.9363,1.0,0.0476,0.0909,0.7764,0.34294287857678496,inf,inf,inf,7.13398647716296
XGBoost,0.9331,0.0,0.0,0.0,0.6966,0.9363,1.0,0.0476,0.0909,0.7196,0.34294287857678496,inf,inf,inf,3.3017513637668707
